rank,name,followers,er,country,topic_of_influence,potential_reach,channel_name,total_subscribers,total_views,total_videos
1,Badabun @UCYWOjHweP2V-8kGKmmAmQJQ,45.7M,-,Mexico,,13.7M,Badabun,47600000,19911915821,24080
2,Kimberly Loaiza @UCQZfFRohQ7UX-0CdXl-6pwQ,38.1M,0.90%,Mexico,,11.4M,Kimberly Loaiza,46300000,6943011571,314
3,GENIAL @UCbrd1vu4_7qIE6IPV_dA-OA,31.2M,-,Mexico,,9.4M,GENIAL,32000000,7081434709,9199
4,Masha y el Oso @UCuSo4gcgxJRf4Bzu43wwVyg,25.9M,-,Mexico,,7.8M,Masha y el Oso,39600000,20262996461,1667
5,MrBeast en Español @UCNAhW2oJvy_FUU082pEDspA,22M,1.80%,Mexico,,6.6M,MrBeast en Español,26400000,3148202215,67
6,BabyBus - Canciones Infantiles & Cuentos @UCy_rxpSt8DMagOUFA9Q-t1A,21.3M,-,Mexico,,6.4M,BabyBus - Canciones Infantiles & Videos para Niños,26800000,15841426193,1674
7,Juan De Dios Pantoja @UCzoUWqjCbcfWFdOMvoep8FA,20.7M,1.30%,Mexico,,6.2M,Juan De Dios Pantoja,44000000,5857439622,432
8,Tlnovelas @UCKyU-wd-KY4PMOcOpPQgQcw,20.1M,-,Mexico,,6M,Tlnovelas,24800000,19216815453,59898
9,YOLO AVENTURAS @UCOnIJiQuk1fDSp6p1GCZy3A,17.9M,0.60%,Mexico,,5.4M,YOLO AVENTURAS,58500000,20524794143,2699
10,YOLO @UCQ8TuCvcDMepleXFyOQfyOQ,17.9M,-,Mexico,,5.4M,YOLO,31900000,2488960701,362
11,Little Angel Español - Canciones Infantiles @UCTdRly9T3iyCJFjmRoCaepQ,17.7M,-,Mexico,,5.3M,Little Angel Español - Canciones Infantiles,21300000,12370556329,1109
12,SUPER SLICK SLIME SAM @UCfRgJADdLXwrcjIuTxn_u3Q,16.8M,-,Mexico,,5M,SUPER SLICK SLIME SAM,21500000,8894134486,1403
13,DeToxoMoroxo @UCq_oSgHK9lk6NUUgkhUOPnw,16.6M,0.10%,Mexico,,5M,DeToxoMoroxo,16800000,2377440678,600
14,Tu COSMOPOLIS @UCo4ywJQXfUIB0lCBpczW3cA,16.6M,-,Mexico,,5M,Tu COSMOPOLIS,16600000,5189300383,11926
15,IDEAS EN 5 MINUTOS @UC_OLtzRJdg0MJfiqGWAAIHw,16.5M,-,Mexico,,5M,IDEAS EN 5 MINUTOS,16700000,3906326058,6644
